Question ID,dataset,comment_id,Question,box_entity,box_def,Position
75,hatexplain,1179100968660717568_twitter,<user> interesting analogy the new world order globalists are jews trying to create hell on earth communism pedophilia homosexuality to bring forth their messiah mother goose of all fables now they label her as a successor of christ will they kill her like they killed christ,"['homosexuality', 'mother', 'pedophilia', 'her', 'kill']","['The state of being sexually and romantically attracted primarily or exclusively to persons of a gender identity the same as one's own.', 'A caretaker and/or immediate progenitor of a child.', 'Sexual attraction to children by adults.', 'To refer to a woman, girl, or female.', 'An event in which an organism is killed.']",70
76,mhs,18174,"the kebabs are a bunch of homosexual rapist deviants, so they 'll keep it alive as a sex slave.","['homosexual', 'sex slave', 'rapist', 'kebabs']","['The state of being sexually and romantically attracted primarily or exclusively to persons of a gender identity the same as one's own.', 'a person who is forced to perform sexual acts', 'An individual or individuals who have been convicted of rape (as well as those in which substantive evidence, contemporary or historical, makes it extremely likely that they were or are guilty of rape).', 'Slang, offensive, ethnic slur to refer to a Muslim, usually of southern European, Middle Eastern, or North African descent.']",71
77,gabhatecorpus,6968,"#SJW 's are the natural end state of post modernist thinking. Where your value is not judged on the goodness of your deeds, but on your group identity. When race, gender, sexuality and colour are more important then #character, and quality of your argument, then your society &culture are doomed.","['group identity', 'gender', 'sexuality']","['One's identity in relationship to the groups within one interacts and participates and those they do not.', 'Identification as male/masculine, female/feminine or something else, and association with a (social) role or set of behavioral and cultural traits, clothing, etc.', 'The sexual functions, activities, attitudes, and orientations of an individual.']",72
78,hatexplain,1179033197201494018_twitter,<user> why is the whistleblower a he i really hope it a she or maybe an immigrant from a shithole country or someone gender nonconfirming or trans two out of three would be op,"['trans', 'gender nonconforming', 'she', 'he']","['Having a gender identity or gender expression that differs from their assigned sex. ""Transgender"" is also an umbrella term: it may include people who are not exclusively masculine or feminine (genderqueer or non-binary, including bigender, pangender, genderfluid, or agender); or people who belong to a third gender, or else conceptualize it as a third gender.', 'Referring to someone whose behavior, appearance, and/or identity does not conform to prevalent social and/or cultural expectations of gender.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a man, boy, or male.']",73
79,gabhatecorpus,18046,This is what Hillary Clinton 's gynecologist finds when she comes in for her annual pap smear.,"['pap smear', 'gynecologist', 'her', 'she']","[''A biospecimen collection and staining procedure in which secretions and superficial cells of the cervix are collected and stained with the Papanicolaou stain followed by microscopic examination to identify the presence of abnormal cells.', 'A doctor who specializes in diagnosing and treating diseases and disorders of the female reproductive organs.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",74
80,mhs,29664,"ok, racist crackhead bitch... just go add coconut oil to your ugly ass hair, do your daily crack, and deactivate your account... do the world a favor hun. url","['hun', 'hair', 'bitch', 'racist']","['Hon: A person whose gender transition has not helped them “pass” or be attractive. Sometimes used with modifiers like voicehon for someone whose voice does not “pass,” or framehon whose body size does not allow them to “pass.” It comes from the cliché, “You look great, hon,” which is often used by older transitioners who do not “pass.”', 'A filament-like structure consisting of a shaft which projects to the surface of the skin from a root which is softer than the shaft and lodges in the cavity of a hair follicle. It is found on most surfaces of the body.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'A prejudice-motivated crime which occurs when a perpetrator targets a victim because of their membership (or perceived membership) in a particular race.']",75
81,hatexplain,23161218_gab,tryin to be white had her nigger hair straightened if i were black these wanna bes would be the last i would trust,"['hair', 'her']","['A filament-like structure consisting of a shaft which projects to the surface of the skin from a root which is softer than the shaft and lodges in the cavity of a hair follicle. It is found on most surfaces of the body.', 'To refer to a woman, girl, or female.']",76
82,mhs,41266,"rapmoaner and and her ilk are the most annoying team to of ever played international sports. just stfu already. the usa should be banned from international sports, they 're pontificating, privilaged arse 's","['her', 'annoying']","['To refer to a woman, girl, or female.', 'Annoyance is an unpleasant emtion that is characterized by a abnormal or excessive sensitivity to some external stimulus.']",77
83,mhs,39594,"that dog should 've tore her the fuck up, nasty ass white bitch ","['her', 'bitch', 'fuck']","['To refer to a woman, girl, or female.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'A rude word meaning to have sex with someone.']",78
84,hatexplain,20427548_gab,"ana navarro is a spic cunt that needs to shut her commie cock holster, these pieces of shit declare war on us every time they open their ugly commie mouths how long until enough is enough","['spic', 'cock', 'her', 'cunt', 'shit']","['A highly offensive racial slur referring to any Latino/Hispanic person.', 'a rude word for a penis', 'To refer to a woman, girl, or female.', 'Vulgar and offensive term to refer to the vulva. By extension, only an extremely derogatory term to refer to a woman. Has extended further to refer to individuals who are bottoms sexually, especially in the gay male community.', 'Insults, criticism, or unkind or unfair treatment.']",79
85,mhs,29745,"@timcast ok if ""send her back"" is disgusting then how about ""ship her back"" or ""fly her back"" or maybe ""throw her racist ass out"". yeah.... that last one sounds the best.","['her', 'disgusting', 'racist']","['To refer to a woman, girl, or female.', 'Disgust is a feeling of revulsion or profound disapproval aroused by something unpleasant or offensive.', 'A prejudice-motivated crime which occurs when a perpetrator targets a victim because of their membership (or perceived membership) in a particular race.']",80
86,mhs,31291,a cm i always have great admiration and preveleged that i stayed during her chiefministership in delhi. she never lost the delhi election its the congress party who made her lose and then all the drama begins. rip shiela dixit,"['her', 'drama', 'she']","['To refer to a woman, girl, or female.', 'an event or situation, especially an unexpected one, in which there is worry or excitement and usually a lot of action.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",81
87,hatexplain,10043208_gab,jy kelly8 hours ago edited if she really wants to act like a moslem she should get a little bit of the fgm that these scum love so much this bitch makes me sick at my stomach libs like her are the reason trump won ,"['fgm', 'her', 'she', 'bitch', 'love']","['*female genital mutilation*: The ritual cutting or removal of some or all of the external female genitalia.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'Affection; in psychiatry commonly refers to pleasure, particularly as it applies to gratifying experiences between individuals.']",82
88,hatexplain,19372617_gab,because he is he ruined his life to avenge a stupid crackwhore that sold her body to a fucking nigger for a fix not even worth a little pity neither of them,"['crackwhore', 'her', 'fucking', 'his', 'he']","['Vulgar, slang, derogatory term to refer to any sexually promiscuous or adulterous woman.', 'To refer to a woman, girl, or female.', 'A rude word used when expressing extreme anger', 'Belonging to or connected with a man, boy, or male.', 'Used as the subject of a verb to refer to a man, boy, or male.']",83
89,hatexplain,1179064245918547968_twitter,glad they found that white bitch amber guyer guilty but i am not too sure about the sentencing they might give her fuckin probation or some done shit,"['her', 'guilty', 'bitch', 'shit']","['To refer to a woman, girl, or female.', 'A feeling of shame and sorrow based on the belief of having done something wrong or failing an obligation.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'nonsense, or something of low quality']",84
90,hatexplain,8135894_gab,spot the wee lil bunny plotting on my ghetto vegetable garden i still love him her,"['bunny', 'her', 'him', 'love']","['A rabbit. In US, could also be a slang term referring to a sexually attractive young woman.', 'To refer to a woman, girl, or female.', 'To refer to a man, boy, or male.', 'Affection; in psychiatry commonly refers to pleasure, particularly as it applies to gratifying experiences between individuals.']",85
91,gabhatecorpus,20477,"when I have time I will put all the bits together for u lazy fucks who support a pedo who abandoned his kid cause of his paranoia and now dumb cunts like you believe a pedo cop ""took his first born"" unless you 've heard his claims it was the Australian gov that made her leave him.... lolololol NONE of you are actually Truthers.","['pedo', 'her', 'him', 'cunts', 'fucks', 'his', 'kid']","['A pedophile', 'To refer to a woman, girl, or female.', 'To refer to a man, boy, or male.', 'Vulgar and offensive term to refer to the vulva. By extension, only an extremely derogatory term to refer to a woman. Has extended further to refer to individuals who are bottoms sexually, especially in the gay male community.', 'A rude word meaning to have sex with someone.', 'Belonging to or connected with a man, boy, or male.', 'A child.']",86
92,hatexplain,22919778_gab,one must wonder how long she will do in jail on the taxpayers dime before they decide to toss her spic ass out as for the guy castrate him and jail him for life the prisoners in nevada will deal with the matter themselves tyvm,"['spic', 'castrate', 'guy', 'her', 'him', 'she']","['A highly offensive racial slur referring to any Latino/Hispanic person.', 'Surgical removal or artificial destruction of gonads.', 'A man', 'To refer to a woman, girl, or female.', 'To refer to a man, boy, or male.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",87
93,mhs,22853,maryam safder and her media darbaris better not complain about this ht -you brought this upon yourself ,"['ht', 'her']","['*hormone therapy*: Any therapeutic technique which uses hormones in medical treatment.', 'To refer to a woman, girl, or female.']",88
94,gabhatecorpus,2779,"Roseanne was #Killed before the fake twitter rant posted. She 's DEAD. There's no proof that she 's alive except for this rabbi 's fake soundcloud ep. You tell me if this sounds like Roseanne, like at all?? She 's been dead for months. You all let her down https:// soundcloud.com/ user- 642636263/ episode- 1- roseanne- barr","['rabbi', 'her', 'killed', 'she', 'dead']","['Spiritual leader or religious teacher in Judaism', 'To refer to a woman, girl, or female.', 'An event in which an organism is killed.', 'Used as the subject of a verb to refer to a woman, girl, or female.', ""A viability quality inhering in a bearer by virtue of the cessation of the bearer's life.""]",89
95,gabhatecorpus,21153,I caught my dog eating her own shit. Reminded me of every liberal I 've ever met.,"['her', 'liberal', 'shit']","['To refer to a woman, girl, or female.', 'A political and moral philosophy based on liberty, consent of the governed and equality before the law.', 'Solid waste that is released from the bowels of a person or animal. Insults, criticism, or unkind or unfair treatment.']",90
96,mhs,31197,"@2020mncongress @ilhanmn @realdonaldtrump @ilhan is so shallow, low iq, you will rip her like rag doll! she has no ability to think on her feet, take her outside the norm and she 'll beg to go back to somalia!","['rag doll', 'her', 'norm', 'she']","['a soft child's toy, made from cloth, in the shape of a person', 'To refer to a woman, girl, or female.', 'An ideology which advocates in regard to the primacy of or the desirability of social norms, or the current socio-political norm; contrast with deviationism.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",91
97,gabhatecorpus,12924,"Well, I can 't say you are wrong, because I don 't know enough about her, but I do know she was fined $330 Euros for calling Mohammed a pedophile and saying Somalis rape as a feature of their genetics.","['her', 'rape', 'she', 'pedophile']","['To refer to a woman, girl, or female.', 'A type of sexual assault usually involving sexual intercourse or other forms of sexual penetration carried out against a person without that person's consent. ', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'Sexual behavior involving young adolescents or children in a sense that is nonnormative and typically criminal in the given society, such as child rape in the contemporary United States.']",92
98,mhs,25796,"@ani_chakravarty @aninewsup her private parts were burned/ mutilated for this purpose only, so that rape can 't be proved. even if rape can 't be proved, gouging out of eyes, chopping off of hands should not be talked about, right? muslims might get scared, secularism will be destroyed?","['mutilated', 'her', 'rape']","['*genital mutilation*: Cutting off or injury to the genitals of a person so that the part of the body is permanently damaged, detached or disfigured.', 'To refer to a woman, girl, or female.', 'A type of sexual assault usually involving sexual intercourse or other forms of sexual penetration carried out against a person without that person's consent. ']",93
99,gabhatecorpus,21065,"maxine waters is not insane, she 's a hateful old bitch. maxine needs her grill fired up.","['her', 'she', 'bitch']","['To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.']",94
100,xtremespeech,25914,,"['circumcised', 'her', 'she']","['A general term encompassing several types of excision of the external genitalia.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",95
101,gabhatecorpus,6045,Fuck ing she should lose her life more she dead the better we can live but she not just the only one the rest of her gang should all so die to ,"['her', 'she', 'dead', 'fuck']","['To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'A viability quality inhering in a bearer by virtue of the cessation of the bearer's life.', 'A rude word used when expressing extreme anger']",96
102,gabhatecorpus,23378,"Fucking joke she knew what he was up to she maybe never loaded the magazines but she fucking knew he was going to do something but kept her mouth shut just like the rest of them ""Never seen anyfing¬† ma lord"" ""Didn 't know why he went out with his guns strapped to his body, ma lord""","['her', 'she', 'fucking', 'his']","['To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'A rude word used when expressing extreme anger', 'Belonging to or connected with a man, boy, or male.']",97
103,gabhatecorpus,26249,"Yeah, I don 't love her, but she 's a gateway jew. She doesn 't hurt us, so I don 't say anything negative about her.","['her', 'she', 'hurt', 'love']","['To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'Hurt is an unpleasant feeling, emotion or sensation.', 'Affection; in psychiatry commonly refers to pleasure, particularly as it applies to gratifying experiences between individuals.']",98
104,hatexplain,18434519_gab,she lusts for the white seed on her taco that basically it,"['taco', 'her', 'she', 'lusts']","['Another word for pussy or a females vagina.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'Lust is the strong desire for sex.']",99
105,hatexplain,9505945_gab,i dont even want her on the same planet as dr ben carson she symbolizes everything he is not a low life ghetto queen,"['her', 'she', 'queen', 'he']","['To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'A gay man who is considered to be feminine.', 'Used as the subject of a verb to refer to a man, boy, or male.']",100
106,hatexplain,16189034_gab,i can find a nigger to shit on her bellybutton if she will hold her tits out of the way,"['tits', 'her', 'she', 'shit']","['a rude word for a breast', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'Solid waste that is released from the bowels of a person or animal. Insults, criticism, or unkind or unfair treatment.']",101
107,mhs,38386,id throw a bible at chenpa but she 'd probably shove it up her ass,"['her', 'she', 'shove']","['To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'To push someone roughly.']",102
108,mhs,20522,"saw a rss bloke asking sadhvi to keep her mouth shut! had she broken down &opened her mouth under karkare 's third degree torture and parroted the fake narrative of sangh terror, the entire org would have gone six feet below. without a trace.","['her', 'she', 'torture', 'bloke']","['To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'The intentional infliction of physical or mental suffering upon an individual or individuals, including the torture of animals.', 'a man, often one who is considered to be ordinary.']",103
109,hatexplain,27617079_gab,o i remember nikki her real shit skin name is nimrod i dont know why shes allowed to use a fucking alias to make her stupid name look white but the fucking cow worshiping dothead makes me fucking sick ,"['her', 'she', 'worshipping', 'fucking', 'shit']","['To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'An act of religious devotion, usually directed towards a deity.', 'A rude word used when expressing extreme anger', 'Insults, criticism, or unkind or unfair treatment.']",104
110,mhs,21928,attorney general maura healey on why she 's suing e- cigarette company eonsmoke url #massachusetts #politics her offices alleges that the new jersey- based company has been directly targeting their products to minors.,"['her', 'she']","['To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",106
111,mhs,42814,sis almost thought she was black cause her mama was mixed,"['sis', 'her', 'she', 'mama']","['A slang term with various meanings formed by shortening the term ""sister"".', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'A mother.']",107
112,hatexplain,19017382_gab,"the twitter post in which l southern simonsen was exposed with her based trump hat nigger was made by a nazbol supposedly i am not too familiar with them it just funny that the white knights call some of us thot patrollers nazbol implying we are communists, is alexander dugin nazbol","['white knights', 'her', 'thot', 'nazbol']","['a person or thing that helps someone who is in a difficult situation.', 'To refer to a woman, girl, or female.', 'Slang term for a woman who is considered sexually promiscuous.', 'NazBol is short for National Bolshevism, which seeks to combine the Extreme Far Right, and the Extreme Far Left.']",108
113,hatexplain,8386960_gab,a negress shoplifter crams a bottle of brandy up her vagina while her son watches,"['negress', 'her', 'vagina', 'son']","['a word for a Black woman, which was used frequently in the past and is now extremely offensive.', 'To refer to a woman, girl, or female.', 'A fibromuscular tubular tract leading from the uterus to the exterior of the body in female placental mammals and marsupials, or to the cloaca in female birds, monotremes, and some reptiles.', 'An individual who is a direct descendant by birth, adoption, or other process, regardless of age.']",109
114,mhs,29675,@walshfreedom @tuckercarlson when have we not done that kid? this somilian gal and her brusband are doing quite nicely. paying little in taxes and mama 's in the congress. ever consider you are the white supremacist?,"['gal', 'brusband', 'mama', 'her', 'kid']","['a woman or girl', 'A slang term used in the Will & Grace sitcom to describe a non-heterosexual marriage, wherein the standard terms ""husband"" and ""wife"" do not necessarily fully describe the relationship between the two people being united. Could be applied to male, female, or transexual couples.', 'A mother.', 'To refer to a woman, girl, or female.', 'A child.']",110
115,hatexplain,23591171_gab,normie will not approve of his kike gassing platform but straight ticket voters gonna straight ticket which is usually enough to win,"['his', 'kike']","['Belonging to or connected with a man, boy, or male.', 'Ethnic slur for a Jew.']",111
116,mhs,26413,@pastorlocke maybe you should get your head out of your wifes pussy for a second and come to reality and see that some things u say are not true and need to get your facts straight you bible thumping dumb fuck take your bible and shove it up your candy ass prick,"['prick', 'wifes', 'pussy', 'shove', 'fuck']","['A stupid man', 'A partner in marriage.', 'Slang for vagina; sometimes used generally as slang for femininity.', 'To push someone roughly.', 'A rude word used when expressing extreme anger']",112
117,mhs,888,no canadians wtf... you racist fuck go die in a hole... stupid bitch,"['hole', 'bitch', 'fuck', 'racist']","['An aperture or hollow space within a solid mass.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'A rude word used when expressing extreme anger', 'A prejudice-motivated crime which occurs when a perpetrator targets a victim because of their membership (or perceived membership) in a particular race.']",113
118,hatexplain,4932171_gab,the more the demoncrats get pissed off the happier i am keep digging that hole with your retarded on hag cunt pelosi,"['hag', 'hole', 'cunt']","['an offensive word for a woman who is considered to be old and unattractive', 'An aperture or hollow space within a solid mass.', 'An offensive word for a very unpleasant or stupid person']",114
119,gabhatecorpus,22831,Trump can offer her Sanctuary and free her from that Shit Hole.¬†,"['her', 'shithole']","['To refer to a woman, girl, or female.', 'a very unpleasant place, especially one that is very dirty or poor']",115
120,hatexplain,23263213_gab,the cold adapted eurasians of the northern hemisphere will make way for the homo superior as the thin white duke would put it,"['homo', 'duke']","['the genus (= biological group) that includes modern humans and other extinct human species.', 'The rule of a duchy or otherwise a high title of nobility, the holder of a dukedom.']",116
121,gabhatecorpus,5311,"fuck off, you limey suckin', kangaroo screwin', nigger, lovin' outback homo","['homo', 'fuck']","['Clipping of the term ""homosexual"".', 'A rude word used when expressing extreme anger']",117
122,gabhatecorpus,27086,"Except, perhaps, to #SmugLiberal awards ceremonies… or maybe out back to shoot 'em. #SmugHollywoodTypes #Hollywood #JimmyKimmel #Trump #Hannity #Homophobic #Twitter #Twatter #OutBackToShootEm","['homophobic', 'shoot']","['A range of negative attitudes and feelings toward homosexuality and gay people. It has been defined as contempt, prejudice, aversion, hatred or antipathy, may be based on irrational fear and ignorance, and is often related to religious beliefs.', 'Violence committed with the use of a gun (firearm or small arm).']",118
123,hatexplain,1251411119576580096_twitter,<user> <user> the rest of the world thinks you 're a racist homophobic sex criminal,"['homophobic', 'sex', 'racist']","['A range of negative attitudes and feelings toward homosexuality and gay people. It has been defined as contempt, prejudice, aversion, hatred or antipathy, may be based on irrational fear and ignorance, and is often related to religious beliefs.', 'Physical activity between people involving the sexual organs.', 'A prejudice-motivated crime which occurs when a perpetrator targets a victim because of their membership (or perceived membership) in a particular race.']",119
124,mhs,13570,"so, no only are you a lie- believing idiot (your mom probably vaccinated you, and made you retarded) but you 're also a homophobe. You 've got not redeeming qualities i see.","['homophobe', 'mom']","['A range of negative attitudes and feelings toward homosexuality and gay people. It has been defined as contempt, prejudice, aversion, hatred or antipathy, may be based on irrational fear and ignorance, and is often related to religious beliefs.', 'A caretaker and/or immediate progenitor of a child.']",120
125,mhs,39114,czech porn hunk @charliedeanporn fucks @aryastarkporn wet pussy @21sextury! url,"['hunk', 'porn', 'pussy', 'fucks']","['A muscular, handsome gay man.', 'The portrayal of sexual subject matter for the exclusive purpose of sexual arousal.', 'Slang for vagina; sometimes used generally as slang for femininity.', 'A rude word meaning to have sex with someone.']",121
126,gabhatecorpus,5534,I heard from three unnamed sources that said Omarosa was a demanding bitch on set. She claimed a head injury when a little piece of ceiling tile dropped on her head. She was in a construction area and had a hard hat on. The latter part is true as I watched that episode of the Apprentice.,"['injury', 'her', 'she', 'bitch']","['Damage inflicted on the body as the direct or indirect result of an external force, with or without disruption of structural continuity.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.']",122
127,hatexplain,17578395_gab,oprah is a stupid nigger that only got into the entertainment business because she fucked a kike with jungle fever,"['jungle fever', 'she', 'fucked', 'kike']","['Fetishization of a person of African descent, including, but not limited to, having strong preferences for Black persons when dating.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'A rude word meaning to have sex with someone.', 'Ethnic slur for a Jew.']",123
128,hatexplain,15484856_gab,get in line cunt fucking jew bitch christ killing baby raping kike whore,"['whore', 'raping', 'cunt', 'bitch', 'fuck', 'killing', 'kike']","['A person, usually a woman, who is considered sexually promiscuous or engaging in sex work.', 'A type of sexual assault usually involving sexual intercourse or other forms of sexual penetration carried out against a person without that person's consent. ', 'En extremely derogatory term to refer to a woman. Has extended further to refer to individuals who are bottoms sexually, especially in the gay male community.', 'A pejorative slang term usually used for a woman who is considered unreasonable, malicious, a control freak, intrusive, or aggressive. It also has several other meanings, depending on the context.', 'A rude word used when expressing extreme anger', 'An event in which an organism is killed.', 'Ethnic slur for a Jew.']",124
129,mhs,42961,aoc with her bullshit story what an embarrassment of a latina,"['Latina', 'her']","['Persons, usually in the United States, who identify as Latina; broadly, all Latin American women. ', 'To refer to a woman, girl, or female.']",125
130,gabhatecorpus,18042,"And well, I could have told her not to even try breaking into the Hugo circlejerk: Scalzi and his merry band of drooling mouth- breathers are so insular even the correct groupthink isn 't enough these days. She 'd have to be a left- handed midget lesbian Eskimo albino for more token POC cred, and she 's a white chick. 3/ 3 #YesIMadeADeadMilkmenReference","['chick', 'lesbian', 'her', 'she', 'his', 'midget']","['a young woman. This word is considered offensive by many women.', 'A sexual orientation describing someone with a female gender identity who is attracted to those with female gender identities, or attraction to those identifying within a feminine gender-area (including transfeminine persons, femme nonbinary people, nonbinary women, demigirls, etc.).', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'Belonging to or connected with a man, boy, or male.', 'an offensive word for a very small person']",126
131,mhs,303,my sister is very religious and waited until marriage. she just celebrated her 5 year anniversary. she knew when i lost my virginity at 16 and never judged me. i had a baby that was fatherless last year and she is a proud aunt. she also attended her lesbian friend from high schools wedding last year. i wish more religious people were like that,"['virginity', 'lesbian', 'marriage', 'aunt', 'sister', 'her', 'she', 'fatherless']","['The state of never having had sex.', 'A sexual orientation describing someone with a female gender identity who is attracted to those with female gender identities, or attraction to those identifying within a feminine gender-area (including transfeminine persons, femme nonbinary people, nonbinary women, demigirls, etc.).', 'A culturally recognized union between people, called spouses. The definition of marriage varies around the world, not only between cultures and between religions, but also throughout the history of any given culture and religion. ', 'A sibling of a parent.', 'A person who shares a parent.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.', 'Without a father.']",127
132,hatexplain,1144975366546759681_twitter,"new to nsfw twitter <number> us soft hard dom single lesbian, she her lt <number> rt for mutual","['dom', 'lesbian', 'single', 'her', 'she']","['a dominant in a BDSM sexual encounter or relationship. BDSM is a way of having sex in which one partner plays a dominant role, while the other is more submissive.', 'A sexual orientation describing someone with a female gender identity who is attracted to those with female gender identities, or attraction to those identifying within a feminine gender-area (including transfeminine persons, femme nonbinary people, nonbinary women, demigirls, etc.).', 'A person who is unmarried. In common usage, a person who is not involved in any type of serious romantic and/or sexual relationship.', 'To refer to a woman, girl, or female.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",128
133,mhs,6425,"i 'm not focusing on one over the other. this is a thread about the treatment of queer people in shariah law countries. i 'm just calling out peoples whataboutism. you are, though, because it 's not about the religion. but since you brought it up, one of these shitty religions has a vastly larger deathtoll than the other these days. so if the goal is saving lgbt lives, maybe we should be focusing more on one than the other. or focusing more on the region if it makes you feel better. yes, it would make me feel better for you to focus on the relevant independent variable here.","['LGBT', 'feel', 'queer', 'whataboutism']","['An initialism for lesbian, gay, bisexual, transgender.', 'Emotional sensations.', 'A multifaceted term used as an umbrella term for being non-cisgender and/or non-heterosexual.', ""A variant of the tu quoque logical fallacy that attempts to discredit an opponent's position by charging them with hypocrisy without directly refuting or disproving their argument.""]",129
134,gabhatecorpus,11320,Kind of explains Hillary 's pro- lgbt stance -she 's a member of the subculture¬† http:// americansfortruth.com/ 2011/ 12/ 18/ hillary- clintons- gay- un- speech- promotes- homosexuality- In- the- name- of- human- rights/,"['LGBT', 'gay', 'homosexuality', 'she']","['An initialism for lesbian, gay, bisexual, transgender.', 'Sexual attraction between two or more people of the same gender or the same gender-area (for example, a man being attracted to a transmasculine person), especially between two men.', 'The state of being sexually and romantically attracted primarily or exclusively to persons of a gender identity the same as one's own.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",130
135,hatexplain,1118521140471898112_twitter,say what you will about nazi germany but it was definitely the most lgbt inclusive place in the middle east,['LGBT'],"['An initialism for lesbian, gay, bisexual, transgender.']",131
136,gabhatecorpus,7786,"So, a local representative for the Sweden Democrats said that Swedes are white, and now she 's getting expelled from the party. In the Sweden Democrats, who some people naively¬† believe are a nationalist party, you can have a lot of different opinions on taxes, abortions and LGBTQ- stuff, as long as those opinions are more left leaning than the official party line. But don 't you dare say that Swedes...","['LGBTQ', 'abortions', 'she']","['An initialism standing for lesbian, gay, bisexual, transgender, queer and/or questioning.', 'Abortion is the ending of pregnancy due to removing an embryo or fetus before it can survive outside the uterus.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",132
137,hatexplain,26269323_gab,"i smile when i see lgbtq jews same with mudshark jews breed em out of existence the only good jew is a queer jew, japs ‚bbc","['mudshark', 'LGBTQ Jews', 'queer']","['Derogatory, offensive, ethnic slur to refer to a non-black person, usually a white woman, who has sexual relationships with black people, usually men. ', 'LGBTQ people who are Jewish.', 'A multifaceted term used as an umbrella term for being non-cisgender and/or non-heterosexual.']",133
138,mhs,30388,@steinbacherika the new and the old defense minister of germany hand in hand. @searchforbreezy @sheila45005286 @tinawil59714869 #lgbtq #climatechange,['LGBTQ'],"['An initialism standing for lesbian, gay, bisexual, transgender, queer and/or questioning.']",134
139,xtremespeech,12460,,"['hermaphrodite', 'male', 'female', 'husband', 'she']","['Condition of possessing both male and female reproductive organs.', 'Having an identity considered male.', 'Having an identity considered female.', 'A partner in marriage.', 'Used as the subject of a verb to refer to a woman, girl, or female.']",135
140,mhs,31220,black male: fuck white people gay fr. white male: shut up slave. black male: wtf is ur problem? white male: i 'm sorry. i shouldn 't have responded so tasteless. black male: my own ignorance is at fault as well. k pop stan: jungkook kung pow 's fucking smile kajkskskdkdjskskajkaj,"['male', 'gay', 'fuck']","['Having an identity considered male.', 'Sexual attraction between two or more people of the same gender or the same gender-area (for example, a man being attracted to a transmasculine person), especially between two men.',  'A rude word used when expressing extreme anger']",136
